IP_Count,Query_Length,Special_Chars,SQL_Keyword_Count,Method_Encoded,Suspicious_UA,Label
1,9,3,0,0,0,1
1,12,1,0,0,0,0
1,13,5,1,0,0,1
1,13,5,1,0,0,1
1,9,3,0,1,0,1
1,34,3,2,0,0,1
1,12,1,1,1,0,0
1,12,1,0,0,0,0
1,34,3,2,0,0,1
1,23,5,1,1,0,1
1,12,1,0,0,0,0
1,13,5,1,1,0,1
1,12,1,0,1,0,0
1,34,3,2,0,0,1
1,12,5,1,1,0,1
1,12,5,1,0,0,1
1,12,5,1,0,0,1
1,12,1,1,1,0,0
1,12,1,0,0,0,0
1,22,1,0,1,0,0
1,34,3,2,0,0,1
1,13,5,1,1,0,1
1,12,5,1,1,0,1
1,12,1,0,0,0,0
1,15,1,1,1,0,0
1,12,1,0,0,0,0
1,23,5,1,1,0,1
1,14,1,0,0,0,0
1,12,1,1,1,0,0
1,22,1,0,1,0,0
1,34,3,2,1,0,1
1,23,5,1,1,0,1
1,9,3,0,1,0,1
1,12,1,0,1,0,0
1,14,5,1,0,0,1
1,22,1,0,0,0,0
1,12,5,1,1,0,1
1,9,3,0,0,0,1
1,14,5,1,1,0,1
1,9,3,0,0,0,1
1,12,1,0,0,0,0
1,14,1,0,1,0,0
1,22,1,0,1,0,0
1,12,1,0,0,0,0
1,14,5,1,1,0,1
1,9,3,0,0,0,1
1,12,1,0,1,0,0
1,22,1,0,1,0,0
1,22,1,0,0,0,0
1,34,3,2,0,0,1
1,14,1,0,1,0,0
1,14,1,0,0,0,0
1,15,1,1,1,0,0
1,12,1,1,0,0,0
1,14,5,1,1,0,1
1,14,1,0,1,0,0
1,12,1,0,0,0,0
1,12,5,1,0,0,1
1,12,5,1,1,0,1
1,14,1,0,1,0,0
1,23,5,1,1,0,1
1,15,1,1,1,0,0
1,12,5,1,1,0,1
1,13,5,1,1,0,1
1,15,1,1,1,0,0
1,13,5,1,0,0,1
1,22,1,0,1,0,0
1,12,1,1,1,0,0
1,22,1,0,0,0,0
1,12,5,1,0,0,1
1,12,5,1,0,0,1
1,14,1,0,0,0,0
1,9,3,0,1,0,1
1,23,5,1,0,0,1
1,23,5,1,0,0,1
1,12,1,1,1,0,0
1,13,5,1,1,0,1
1,15,1,1,0,0,0
1,13,5,1,0,0,1
1,15,1,1,1,0,0
1,12,1,0,0,0,0
1,15,1,1,1,0,0
1,9,3,0,0,0,1
1,23,5,1,0,0,1
1,14,1,0,0,0,0
1,22,1,0,0,0,0
1,14,5,1,1,0,1
1,9,3,0,0,0,1
1,34,3,2,1,0,1
1,13,5,1,1,0,1
1,15,1,1,0,0,0
1,13,5,1,1,0,1
1,12,5,1,0,0,1
1,23,5,1,1,0,1
1,14,5,1,0,0,1
1,12,5,1,0,0,1
1,12,1,0,1,0,0
1,15,1,1,0,0,0
1,13,5,1,1,0,1
1,12,1,0,0,0,0
1,12,5,1,0,0,1
1,23,5,1,0,0,1
1,12,1,0,1,0,0
1,12,1,1,1,0,0
1,12,5,1,1,0,1
1,12,1,0,0,0,0
1,13,5,1,0,0,1
1,14,5,1,1,0,1
1,23,5,1,1,0,1
1,14,1,0,1,0,0
1,14,5,1,1,0,1
1,9,3,0,1,0,1
1,12,5,1,1,0,1
1,12,1,1,0,0,0
1,14,1,0,1,0,0
1,34,3,2,0,0,1
1,12,1,1,0,0,0
1,9,3,0,0,0,1
1,12,1,1,0,0,0
1,12,1,1,0,0,0
1,15,1,1,0,0,0
1,12,5,1,1,0,1
1,12,1,0,0,0,0
1,15,1,1,0,0,0
1,34,3,2,0,0,1
1,22,1,0,1,0,0
1,12,1,0,1,0,0
1,12,5,1,1,0,1
1,13,5,1,1,0,1
1,14,1,0,0,0,0
1,22,1,0,1,0,0
1,9,3,0,0,0,1
1,22,1,0,1,0,0
1,15,1,1,0,0,0
1,12,1,0,1,0,0
1,23,5,1,1,0,1
1,9,3,0,0,0,1
1,9,3,0,1,0,1
1,14,1,0,1,0,0
1,14,1,0,0,0,0
1,34,3,2,1,0,1
1,9,3,0,1,0,1
1,14,1,0,1,0,0
1,22,1,0,0,0,0
1,12,5,1,1,0,1
1,23,5,1,1,0,1
1,13,5,1,0,0,1
1,23,5,1,1,0,1
1,14,5,1,1,0,1
1,15,1,1,1,0,0
1,12,1,0,1,0,0
1,12,1,1,0,0,0
1,12,5,1,0,0,1
1,15,1,1,1,0,0
1,13,5,1,1,0,1
1,13,5,1,1,0,1
1,12,1,1,0,0,0
1,23,5,1,1,0,1
1,12,1,1,0,0,0
1,34,3,2,1,0,1
1,34,3,2,1,0,1
1,14,1,0,1,0,0
1,13,5,1,1,0,1
1,22,1,0,1,0,0
1,34,3,2,1,0,1
1,22,1,0,1,0,0
1,22,1,0,1,0,0
1,34,3,2,0,0,1
1,14,1,0,1,0,0
1,12,1,1,0,0,0
1,34,3,2,1,0,1
1,14,5,1,0,0,1
1,12,1,0,0,0,0
1,15,1,1,0,0,0
1,12,5,1,0,0,1
1,9,3,0,1,0,1
1,13,5,1,1,0,1
1,12,1,0,0,0,0
1,14,5,1,0,0,1
1,12,1,0,1,0,0
1,12,5,1,1,0,1
1,14,5,1,1,0,1
1,12,1,1,1,0,0
1,9,3,0,1,0,1
1,9,3,0,0,0,1
1,9,3,0,0,0,1
1,15,1,1,0,0,0
1,15,1,1,0,0,0
1,12,1,0,1,0,0
1,12,1,1,1,0,0
1,12,1,0,1,0,0
1,14,5,1,0,0,1
1,34,3,2,0,0,1
1,34,3,2,0,0,1
1,34,3,2,1,0,1
1,12,1,1,0,0,0
1,12,5,1,1,0,1
1,12,1,0,0,0,0
1,22,1,0,1,0,0
1,15,1,1,1,0,0
1,34,3,2,0,0,1
1,12,1,1,1,0,0
1,34,3,2,1,0,1
1,34,3,2,0,0,1
1,15,1,1,1,0,0
1,23,5,1,0,0,1
1,14,5,1,1,0,1
1,12,1,1,1,0,0
1,12,1,1,1,0,0
1,12,1,0,1,0,0
1,13,5,1,1,0,1
1,23,5,1,1,0,1
1,22,1,0,0,0,0
1,12,1,0,1,0,0
1,12,5,1,0,0,1
1,12,1,0,1,0,0
1,15,1,1,1,0,0
1,22,1,0,0,0,0
1,34,3,2,0,0,1
1,12,1,0,1,0,0
1,12,1,0,0,0,0
1,14,1,0,1,0,0
1,34,3,2,0,0,1
1,12,1,0,0,0,0
1,12,5,1,1,0,1
1,15,1,1,0,0,0
1,12,1,1,1,0,0
1,9,3,0,0,0,1
1,13,5,1,1,0,1
1,13,5,1,1,0,1
1,14,1,0,1,0,0
1,34,3,2,1,0,1
1,22,1,0,1,0,0
1,13,5,1,0,0,1
1,12,1,0,0,0,0
1,15,1,1,0,0,0
1,15,1,1,1,0,0
1,23,5,1,1,0,1
1,9,3,0,1,0,1
1,12,1,0,1,0,0
1,9,3,0,1,0,1
1,34,3,2,0,0,1
1,12,5,1,0,0,1
1,13,5,1,1,0,1
1,14,1,0,1,0,0
1,12,5,1,1,0,1
1,34,3,2,1,0,1
1,23,5,1,1,0,1
1,23,5,1,1,0,1
1,14,1,0,1,0,0
1,13,5,1,1,0,1
1,14,1,0,0,0,0
1,15,1,1,0,0,0
1,14,5,1,1,0,1
1,15,1,1,1,0,0
1,14,5,1,1,0,1
1,23,5,1,1,0,1
1,22,1,0,0,0,0
1,34,3,2,0,0,1
1,9,3,0,0,0,1
1,12,1,1,1,0,0
1,14,5,1,0,0,1
1,15,1,1,1,0,0
1,12,1,0,0,0,0
1,12,1,0,1,0,0
1,14,5,1,0,0,1
1,12,5,1,1,0,1
1,13,5,1,1,0,1
1,9,3,0,0,0,1
1,22,1,0,1,0,0
1,12,1,0,1,0,0
1,14,1,0,1,0,0
1,12,1,1,0,0,0
1,12,1,1,1,0,0
1,22,1,0,0,0,0
1,12,5,1,1,0,1
1,9,3,0,0,0,1
1,12,1,0,1,0,0
1,14,5,1,1,0,1
1,13,5,1,1,0,1
1,12,1,0,1,0,0
1,12,5,1,1,0,1
1,12,1,0,1,0,0
1,22,1,0,1,0,0
1,22,1,0,0,0,0
1,12,1,0,1,0,0
1,13,5,1,0,0,1
1,12,1,1,0,0,0
1,12,1,0,0,0,0
1,13,5,1,0,0,1
1,34,3,2,1,0,1
1,23,5,1,0,0,1
1,12,5,1,0,0,1
1,23,5,1,1,0,1
1,12,5,1,0,0,1
1,12,1,0,1,0,0
1,12,5,1,1,0,1
1,22,1,0,0,0,0
1,34,3,2,1,0,1
1,12,5,1,1,0,1
1,14,5,1,1,0,1
1,12,1,0,0,0,0
1,14,1,0,0,0,0
1,13,5,1,0,0,1
1,12,1,0,1,0,0
1,23,5,1,1,0,1
1,22,1,0,1,0,0
1,23,5,1,1,0,1
1,12,1,0,0,0,0
1,12,1,0,1,0,0
1,12,1,0,0,0,0
1,12,1,0,1,0,0
1,13,5,1,1,0,1
1,9,3,0,0,0,1
1,34,3,2,0,0,1
1,15,1,1,0,0,0
1,14,1,0,1,0,0
1,12,5,1,1,0,1
1,14,5,1,1,0,1
1,12,1,0,0,0,0
1,12,5,1,1,0,1
1,12,1,0,0,0,0
1,12,1,1,1,0,0
1,9,3,0,1,0,1
1,14,1,0,0,0,0
1,12,1,0,1,0,0
1,14,1,0,0,0,0
1,12,1,1,0,0,0
1,12,1,1,0,0,0
1,12,1,0,1,0,0
1,15,1,1,0,0,0
1,12,1,0,0,0,0
1,12,1,0,0,0,0
1,34,3,2,0,0,1
1,12,1,0,1,0,0
1,14,1,0,1,0,0
1,13,5,1,0,0,1
1,12,1,0,1,0,0
1,34,3,2,1,0,1
1,34,3,2,1,0,1
1,22,1,0,1,0,0
1,14,5,1,1,0,1
1,12,1,0,1,0,0
1,12,1,0,1,0,0
1,22,1,0,1,0,0
1,15,1,1,1,0,0
1,22,1,0,1,0,0
1,12,5,1,0,0,1
1,12,5,1,0,0,1
1,22,1,0,1,0,0
1,14,1,0,0,0,0
1,34,3,2,1,0,1
1,9,3,0,1,0,1
1,34,3,2,0,0,1
1,13,5,1,1,0,1
1,12,1,1,0,0,0
1,12,5,1,0,0,1
1,12,1,0,0,0,0
1,14,5,1,1,0,1
1,12,1,1,0,0,0
1,12,1,1,0,0,0
1,23,5,1,1,0,1
1,34,3,2,1,0,1
1,34,3,2,1,0,1
1,22,1,0,0,0,0
1,34,3,2,0,0,1
1,12,1,0,1,0,0
1,34,3,2,1,0,1
1,14,5,1,1,0,1
1,12,1,0,0,0,0
1,12,1,1,1,0,0
1,34,3,2,1,0,1
1,23,5,1,1,0,1
1,9,3,0,1,0,1
1,14,1,0,1,0,0
1,14,5,1,0,0,1
1,14,5,1,0,0,1
1,14,5,1,0,0,1
1,13,5,1,1,0,1
1,12,1,0,0,0,0
1,23,5,1,0,0,1
1,14,1,0,1,0,0
1,12,1,0,0,0,0
1,12,1,1,1,0,0
1,13,5,1,1,0,1
1,14,1,0,0,0,0
1,13,5,1,1,0,1
1,34,3,2,0,0,1
1,34,3,2,1,0,1
1,34,3,2,0,0,1
1,13,5,1,0,0,1
1,12,1,1,1,0,0
1,13,5,1,1,0,1
1,34,3,2,0,0,1
1,12,5,1,1,0,1
1,23,5,1,0,0,1
1,34,3,2,0,0,1
1,15,1,1,0,0,0
1,13,5,1,0,0,1
1,22,1,0,0,0,0
1,14,1,0,0,0,0
1,13,5,1,1,0,1
1,12,5,1,1,0,1
1,12,1,1,0,0,0
1,15,1,1,1,0,0
1,12,5,1,0,0,1
1,22,1,0,1,0,0
1,22,1,0,1,0,0
1,15,1,1,0,0,0
1,14,5,1,0,0,1
1,13,5,1,0,0,1
1,15,1,1,1,0,0
1,14,5,1,1,0,1
1,34,3,2,1,0,1
1,12,1,0,1,0,0
1,13,5,1,0,0,1
1,22,1,0,0,0,0
1,34,3,2,1,0,1
1,13,5,1,1,0,1
1,15,1,1,0,0,0
1,23,5,1,1,0,1
1,15,1,1,1,0,0
1,12,1,0,0,0,0
1,12,1,1,0,0,0
1,9,3,0,1,0,1
1,9,3,0,0,0,1
1,12,1,0,1,0,0
1,12,5,1,1,0,1
1,13,5,1,1,0,1
1,14,5,1,1,0,1
1,12,5,1,1,0,1
1,34,3,2,0,0,1
1,22,1,0,1,0,0
1,9,3,0,0,0,1
1,34,3,2,1,0,1
1,22,1,0,1,0,0
1,22,1,0,0,0,0
1,23,5,1,0,0,1
1,12,1,1,1,0,0
1,12,5,1,0,0,1
1,12,1,1,0,0,0
1,15,1,1,0,0,0
1,12,5,1,1,0,1
1,9,3,0,1,0,1
1,15,1,1,0,0,0
1,23,5,1,1,0,1
1,12,5,1,0,0,1
1,9,3,0,1,0,1
1,12,1,1,1,0,0
1,23,5,1,1,0,1
1,22,1,0,0,0,0
1,12,1,0,0,0,0
1,23,5,1,1,0,1
1,14,5,1,0,0,1
1,14,1,0,1,0,0
1,23,5,1,0,0,1
1,15,1,1,0,0,0
1,34,3,2,0,0,1
1,15,1,1,0,0,0
1,12,5,1,0,0,1
1,14,5,1,1,0,1
1,34,3,2,1,0,1
1,14,1,0,1,0,0
1,14,1,0,1,0,0
1,23,5,1,1,0,1
1,12,1,0,0,0,0
1,12,5,1,0,0,1
1,23,5,1,0,0,1
1,12,1,0,1,0,0
1,12,1,0,0,0,0
1,13,5,1,1,0,1
1,14,1,0,1,0,0
1,14,1,0,1,0,0
1,34,3,2,0,0,1
1,15,1,1,0,0,0
1,15,1,1,1,0,0
1,14,5,1,0,0,1
1,14,5,1,0,0,1
1,12,1,1,0,0,0
1,12,1,0,0,0,0
1,12,1,0,1,0,0
1,14,5,1,1,0,1
1,22,1,0,1,0,0
1,12,1,0,0,0,0
1,12,1,0,0,0,0
1,12,1,0,0,0,0
1,12,5,1,0,0,1
1,34,3,2,1,0,1
1,13,5,1,0,0,1
1,15,1,1,0,0,0
1,14,1,0,1,0,0
1,23,5,1,0,0,1
1,9,3,0,0,0,1
1,12,5,1,0,0,1
1,22,1,0,1,0,0
1,12,1,1,0,0,0
